lead_id,attribute,value,ts,source
L005,preferred_channel,email,2024-01-02,crm
L009,preferred_channel,email,2024-01-02,crm
L010,responds_email,0,2024-01-02,campaign
L003,preferred_channel,phone,2024-01-02,crm
L006,responds_email,0,2024-01-02,campaign
L014,preferred_channel,phone,2024-01-02,crm
L002,preferred_channel,phone,2024-01-02,crm
L014,responds_email,0,2024-01-02,campaign
L005,responds_email,1,2024-01-02,campaign
L012,preferred_channel,phone,2024-01-02,crm
L012,responds_email,0,2024-01-02,campaign
L008,preferred_channel,phone,2024-01-02,crm
L013,preferred_channel,email,2024-01-02,crm
L010,preferred_channel,sms,2024-01-03,crm
L007,preferred_channel,email,2024-01-03,crm
L002,responds_email,0,2024-01-03,campaign
L005,responds_email,0,2024-01-03,campaign
L015,preferred_channel,email,2024-01-03,crm
L008,responds_email,0,2024-01-03,campaign
L009,preferred_channel,phone,2024-01-03,crm
L008,preferred_channel,sms,2024-01-03,crm
L001,preferred_channel,email,2024-01-03,crm
L012,preferred_channel,sms,2024-01-03,crm
L015,responds_email,1,2024-01-03,campaign
L004,responds_email,1,2024-01-03,campaign
L003,responds_email,1,2024-01-03,campaign
L013,responds_email,1,2024-01-03,campaign
L009,responds_email,1,2024-01-03,campaign
L012,responds_email,1,2024-01-03,campaign
L012,preferred_channel,sms,2024-01-04,crm
L014,responds_email,0,2024-01-04,campaign
L001,responds_email,1,2024-01-04,campaign
L011,responds_email,1,2024-01-04,campaign
L002,responds_email,0,2024-01-04,campaign
L004,responds_email,0,2024-01-04,campaign
L015,responds_email,0,2024-01-04,campaign
L009,responds_email,1,2024-01-04,campaign
L002,preferred_channel,email,2024-01-04,crm
L013,preferred_channel,sms,2024-01-04,crm
L007,preferred_channel,sms,2024-01-04,crm
L016,responds_email,0,2024-01-04,campaign
L010,responds_email,0,2024-01-04,campaign
L006,responds_email,0,2024-01-04,campaign
L012,responds_email,1,2024-01-04,campaign
L011,preferred_channel,email,2024-01-04,crm
L008,responds_email,0,2024-01-04,campaign
L013,responds_email,1,2024-01-04,campaign
L005,responds_email,1,2024-01-04,campaign
L008,preferred_channel,sms,2024-01-05,crm
L007,responds_email,1,2024-01-05,campaign
L005,preferred_channel,email,2024-01-05,crm
L001,responds_email,0,2024-01-05,campaign
L015,preferred_channel,email,2024-01-05,crm
L005,responds_email,1,2024-01-05,campaign
L014,preferred_channel,email,2024-01-05,crm
L002,responds_email,0,2024-01-05,campaign
L016,responds_email,1,2024-01-05,campaign
L010,responds_email,1,2024-01-05,campaign
L001,preferred_channel,email,2024-01-05,crm
L014,responds_email,0,2024-01-05,campaign
L015,responds_email,1,2024-01-05,campaign
L009,responds_email,1,2024-01-05,campaign
L008,responds_email,0,2024-01-05,campaign
L002,preferred_channel,sms,2024-01-05,crm
L012,preferred_channel,sms,2024-01-05,crm
L006,responds_email,0,2024-01-05,campaign
